Control ID,PCI DSS Requirement,Control Area,Control Objective,Current State,Compliance Status,Risk Level,Evidence Expected,Recommended Action
PCI-001,Requirement 1,Network Security,Protect the cardholder data environment using network security controls,Firewalls are deployed but rule reviews are inconsistent,Partially Compliant,Medium,Firewall configuration and rule review records,Perform quarterly firewall rule reviews and document changes
PCI-002,Requirement 2,Secure Configuration,Remove or disable default accounts and insecure settings,Default accounts are removed and hardened configurations are used,Compliant,Low,Configuration standards and system hardening evidence,Continue periodic configuration reviews
PCI-003,Requirement 3,Protect Stored Account Data,Limit storage and protect retained cardholder data,Retention requirements exist but are not consistently reviewed,Partially Compliant,High,Data retention policy and deletion records,Define retention periods and verify unnecessary cardholder data is securely deleted
PCI-004,Requirement 4,Protect Data in Transit,Encrypt payment data transmitted over public networks,Secure encryption is used for payment traffic,Compliant,Low,TLS configuration and network security documentation,Maintain approved encryption standards
PCI-005,Requirement 5,Malware Protection,Protect systems from malware,Endpoint protection is deployed across critical systems,Compliant,Low,Endpoint protection dashboard and policy,Continue monitoring malware protection coverage
PCI-006,Requirement 6,Secure Systems and Software,Remediate vulnerabilities and maintain secure systems,Vulnerability scanning is performed but some critical remediation exceeds target timelines,Partially Compliant,High,Vulnerability scans and remediation tickets,Define and enforce severity-based remediation timelines
PCI-007,Requirement 7,Access Control,Restrict access based on business need,Role-based access controls exist but periodic reviews are inconsistent,Partially Compliant,Medium,Access review reports and approval records,Perform quarterly access reviews and remove unnecessary permissions
PCI-008,Requirement 8,User Identification and Authentication,Protect administrative and remote access using strong authentication,MFA is enabled for some administrators but not all,Partially Compliant,High,MFA configuration and account inventory,Require MFA for all administrator and remote access accounts
PCI-009,Requirement 9,Physical Access,Restrict physical access to systems and media,Cloud-hosted environment limits direct physical control,Not Tested,Medium,Cloud provider physical security documentation,Review cloud provider physical security attestations
PCI-010,Requirement 10,Logging and Monitoring,Log and monitor access to systems and cardholder data,Centralized logging is enabled but daily review evidence is incomplete,Partially Compliant,Medium,SIEM screenshots and log review records,Document daily log reviews and retain investigation evidence
PCI-011,Requirement 11,Security Testing,Regularly test security systems and processes,Vulnerability scanning occurs but penetration testing is inconsistent,Partially Compliant,Medium,Penetration test reports and scan results,Perform recurring penetration testing and track findings to closure
PCI-012,Requirement 12,Security Policies and Programs,Maintain security policies training and incident response procedures,Policies and security training exist but incident response testing is incomplete,Partially Compliant,High,Security policies training records and tabletop exercise reports,Conduct annual incident response tabletop exercises and document lessons learned
PCI-013,Requirement 12,Third-Party Risk,Manage service provider security risk,Third-party payment providers are used but recurring reviews are inconsistent,Partially Compliant,Medium,Vendor questionnaires and approval records,Perform annual security reassessments of critical service providers
PCI-014,Requirement 12,Security Awareness,Train personnel on payment security responsibilities,Recurring security awareness training is provided,Compliant,Low,Training completion reports,Continue annual training and phishing simulations
PCI-015,Requirement 12,Incident Response,Maintain and test incident response procedures,An incident response plan exists but recent testing evidence is unavailable,Non-Compliant,High,Incident response plan and tabletop exercise report,Conduct a formal annual incident response exercise
