Risk ID,Risk Description,PCI DSS Requirement,Asset/Process,Likelihood,Impact,Risk Score,Risk Rating,Existing Control,Control Gap,Recommended Remediation
PCI-R-001,Administrator account compromise due to incomplete MFA coverage,Requirement 8,Identity and Access Management,3,5,15,High,MFA is enabled for some administrative accounts,MFA is not enforced for all administrators,Require MFA for all administrator and remote access accounts
PCI-R-002,Exposure of retained cardholder data,Requirement 3,Cardholder Data Storage,3,5,15,High,Data retention procedures exist,Retention periods are not consistently reviewed,Define retention periods and securely delete cardholder data when no longer required
PCI-R-003,Exploitation of unpatched critical vulnerability,Requirement 6,Vulnerability Management,3,5,15,High,Vulnerability scanning is performed,Some critical findings exceed remediation timelines,Define severity-based remediation SLAs and require risk acceptance for exceptions
PCI-R-004,Unauthorized access caused by excessive permissions,Requirement 7,Access Control,3,4,12,High,Role-based access control is implemented,Periodic access reviews are inconsistent,Perform quarterly access reviews and remove unnecessary permissions
PCI-R-005,Delayed detection of suspicious payment-system activity,Requirement 10,Logging and Monitoring,2,4,8,Medium,Centralized security logging is enabled,Daily log review evidence is incomplete,Document daily security log reviews and retain investigation records
PCI-R-006,Incident response failure during payment-card breach,Requirement 12,Incident Response,3,5,15,High,Incident response plan exists,Plan has not been recently tested,Conduct annual tabletop exercises and document corrective actions
PCI-R-007,Undetected security weaknesses due to inconsistent penetration testing,Requirement 11,Security Testing,2,4,8,Medium,Vulnerability scanning is performed,Penetration testing is not consistently scheduled,Perform annual penetration testing and test after significant changes
PCI-R-008,Third-party service provider compromise,Requirement 12,Third-Party Risk Management,3,4,12,High,Vendor reviews are performed informally,Recurring reassessments are inconsistent,Perform annual security reassessments of critical service providers
PCI-R-009,Unauthorized network access due to outdated firewall rules,Requirement 1,Network Security,2,4,8,Medium,Firewalls are deployed,Firewall rule reviews are inconsistent,Perform quarterly firewall rule reviews and document approvals
PCI-R-010,Insufficient assurance over physical protection of hosted systems,Requirement 9,Physical Security,2,4,8,Medium,Cloud providers manage physical security,Physical security attestations have not been formally reviewed,Review cloud provider compliance reports and physical security attestations
