Gap ID,PCI DSS Requirement,Control Area,Current State,Gap Identified,Risk Level,Business Impact,Recommended Remediation,Priority,Target Timeline,Status
GAP-001,Requirement 1,Network Security,Firewalls are deployed but rule reviews are inconsistent,Firewall rules are not formally reviewed on a recurring schedule,Medium,Outdated or excessive rules may expose systems to unnecessary network access,Perform quarterly firewall rule reviews and retain approval evidence,Medium,90 Days,Open
GAP-002,Requirement 3,Protect Stored Account Data,Cardholder data retention requirements exist but are not consistently reviewed,Stored cardholder data may remain longer than necessary,High,Excessive data retention increases exposure during a breach,Define retention periods and securely delete cardholder data when no longer required,High,30 Days,Open
GAP-003,Requirement 6,Secure Systems and Software,Vulnerability scanning is performed but some high-risk findings remain open beyond target timelines,Vulnerability remediation deadlines are not consistently enforced,High,Known vulnerabilities may be exploited before remediation occurs,Define severity-based remediation SLAs and require documented risk acceptance for exceptions,High,30 Days,Open
GAP-004,Requirement 7,Access Control,Role-based access controls exist but periodic reviews are inconsistent,User access is not consistently recertified,Medium,Users may retain unnecessary access to payment systems or sensitive data,Perform quarterly access reviews and remove unnecessary permissions,Medium,60 Days,Open
GAP-005,Requirement 8,User Identification and Authentication,MFA is enabled for some administrators but not all,Administrative access is not fully protected by MFA,High,Compromised credentials could provide elevated access to cardholder systems,Require MFA for all administrator and remote access accounts,High,30 Days,Open
GAP-006,Requirement 10,Logging and Monitoring,Centralized logging is enabled but daily review evidence is incomplete,Daily security log review is not consistently documented,Medium,Suspicious activity may remain undetected or investigation evidence may be incomplete,Document daily log reviews and retain alert investigation records,Medium,60 Days,Open
GAP-007,Requirement 11,Security Testing,Vulnerability scanning occurs but penetration testing is inconsistent,Recurring penetration testing is not formally scheduled,Medium,Security weaknesses may remain unidentified between assessments,Perform penetration testing at least annually and after significant changes,Medium,90 Days,Open
GAP-008,Requirement 12,Security Policies and Programs,Policies and training exist but incident response testing is incomplete,The incident response plan has not been validated through a recent exercise,High,The organization may respond slowly or inconsistently during a payment-card security incident,Conduct an annual tabletop exercise and document lessons learned,High,60 Days,Open
GAP-009,Requirement 12,Third-Party Risk,Third-party payment providers are used but recurring reviews are inconsistent,Critical service providers are not consistently reassessed for security risk,Medium,Vendor weaknesses could expose payment systems or customer data,Perform annual security reassessments of critical service providers,Medium,90 Days,Open
GAP-010,Requirement 9,Physical Access,Physical security controls are primarily managed by cloud providers,Cloud provider physical security evidence has not been formally reviewed,Medium,Insufficient assurance may exist over physical protection of hosted systems,Review cloud provider compliance reports and physical security attestations,Medium,90 Days,Open
